time,channel3
0.0,-0.010800093706460043
0.004,-0.010797857935967993
0.008,-0.01079793005759677
0.012,-0.01080031007134637
0.016,-0.01079468458430186
0.02,-0.010790597692004564
0.024,-0.010797256922394862
0.028,-0.010799059963114256
0.032,-0.010791943962408379
0.036000000000000004,-0.010790044759517283
0.04,-0.010790886178519667
0.044,-0.010790140921688984
0.048,-0.010800502395689773
0.052000000000000005,-0.010811777410321721
0.056,-0.010809998410145252
0.06,-0.01080437292310074
0.064,-0.010798218544111872
0.068,-0.010798867638770854
0.07200000000000001,-0.010803795950070534
0.076,-0.010800286030803446
0.08,-0.010787111813280402
0.084,-0.010780428542347177
0.088,-0.010780524704518879
0.092,-0.010782664312839228
0.096,-0.010784154826500594
0.1,-0.01078427502921522
0.10400000000000001,-0.010784611596816174
0.108,-0.010785380894189782
0.112,-0.010787039691651625
0.116,-0.010788482124227141
0.12,-0.010790958300148442
0.124,-0.010795045192445738
0.128,-0.010796030854705674
0.132,-0.010791751638064976
0.136,-0.010787953232282784
0.14,-0.010787111813280402
0.14400000000000002,-0.010785332813103931
0.148,-0.010783553812927463
0.152,-0.010786582921336045
0.156,-0.010790020718974358
0.16,-0.010799468652343986
0.164,-0.010803483423012504
0.168,-0.010796463584478328
0.17200000000000001,-0.010785909786134138
0.176,-0.010779923690945747
0.18,-0.010778072569140502
0.184,-0.010774394366072937
0.188,-0.010771822027979933
0.192,-0.010776678217650836
0.196,-0.01077939479900139
0.2,-0.010778986109771661
0.20400000000000001,-0.010784034623785967
0.20800000000000002,-0.010785332813103931
0.212,-0.010778986109771661
0.216,-0.010778986109771661
0.22,-0.010786318475363868
0.224,-0.010785525137447334
0.228,-0.010776750339279613
0.232,-0.010776630136564986
0.23600000000000002,-0.010779587123344793
0.24,-0.0107595132700022
0.244,-0.0107641771353297
0.248,-0.010768408270884546
0.252,-0.010770307473775642
0.256,-0.010773456784898851
0.26,-0.010778168731312203
0.264,-0.010774995379646069
0.268,-0.010768264027626994
0.272,-0.010763600162299493
0.276,-0.010759561351088048
0.28,-0.01075691689136627
0.28400000000000003,-0.010756267796707289
0.28800000000000003,-0.01076021044574703
0.292,-0.010768047662740667
0.296,-0.010765932094963244
0.3,-0.010763119351440989
0.304,-0.010772663446982318
0.308,-0.010773192338926674
0.312,-0.010766028257134946
0.316,-0.010761172067464042
0.32,-0.010754272431644491
0.324,-0.010756484161593615
0.328,-0.010758431445570562
0.332,-0.010755354256076127
0.336,-0.010757878513083281
0.34,-0.010760715297148463
0.34400000000000003,-0.010761797121580098
0.34800000000000003,-0.010764561784016503
0.352,-0.010760258526832881
0.356,-0.010754224350558641
0.36,-0.010753310809927481
0.364,-0.01075371949915721
0.368,-0.01075564274259123
0.372,-0.010756676485937018
0.376,-0.010757493864396476
0.38,-0.010758960337514917
0.384,-0.010760595094433835
0.388,-0.010762013486466425
0.392,-0.010764345419130177
0.396,-0.010765379162475964
0.4,-0.010762253891895678
0.404,-0.010759729634888526
0.40800000000000003,-0.010761724999951323
0.41200000000000003,-0.010767855338397265
0.41600000000000004,-0.010775307906704097
0.42,-0.010776125285163555
0.424,-0.010770980608977548
0.428,-0.010763744405557045
0.432,-0.010762975108183437
0.436,-0.010770475757576118
0.44,-0.010777615798824922
0.444,-0.010776630136564986
0.448,-0.010768576554685022
0.452,-0.010761917324294726
0.456,-0.010762758743297109
0.46,-0.010766244622021272
0.464,-0.010764730067816981
0.468,-0.010760498932262134
0.47200000000000003,-0.010754921526303474
0.47600000000000003,-0.010756219715621438
0.48,-0.010757902553626205
0.484,-0.010759128621315395
0.488,-0.010760426810633359
0.492,-0.010760378729547508
0.496,-0.010763576121756569
0.5,-0.010772591325353542
0.504,-0.010778913988142886
0.508,-0.010774298203901236
0.512,-0.010762927027097587
0.516,-0.010752950201783601
0.52,-0.010751147161064206
0.524,-0.010753767580243061
0.528,-0.010756243756164362
0.532,-0.010756436080507765
0.536,-0.010756484161593615
0.54,-0.010756604364308241
0.544,-0.010756628404851167
0.548,-0.01075636395887899
0.552,-0.01075773426982573
0.556,-0.010760114283575331
0.56,-0.010761797121580098
0.5640000000000001,-0.010763119351440989
0.5680000000000001,-0.010760426810633359
0.5720000000000001,-0.010763504000127792
0.5760000000000001,-0.010773384663270075
0.58,-0.010775788717562601
0.584,-0.01076504259487501
0.588,-0.010756748607565793
0.592,-0.01076148459452207
0.596,-0.010761724999951323
0.6,-0.010755690823677081
0.604,-0.010753286769384555
0.608,-0.010752613634182649
0.612,-0.010753382931556256
0.616,-0.010755498499333679
0.62,-0.010755282134447352
0.624,-0.010752902120697752
0.628,-0.010752878080154826
0.632,-0.010757037094080896
0.636,-0.01075631587779314
0.64,-0.010755161931732727
0.644,-0.010767687054596789
0.648,-0.010771028690063399
0.652,-0.010752469390925097
0.656,-0.010741819430409204
0.66,-0.010741603065522878
0.664,-0.01074321378189887
0.668,-0.010743382065699346
0.672,-0.010745689957820173
0.676,-0.010745281268590442
0.68,-0.01074874310677168
0.684,-0.010750954836720806
0.6880000000000001,-0.010751099079978357
0.6920000000000001,-0.010753647377528434
0.6960000000000001,-0.01075463303978837
0.7000000000000001,-0.010755113850646876
0.704,-0.010754320512730342
0.708,-0.01075641203996484
0.712,-0.01075823912122716
0.716,-0.010756267796707289
0.72,-0.010756628404851167
0.724,-0.01076016236466118
0.728,-0.010770788284634148
0.732,-0.010773240420012525
0.736,-0.010762614500039557
0.74,-0.01075609951290681
0.744,-0.010755474458790755
0.748,-0.010756075472363886
0.752,-0.010755714864220008
0.756,-0.010754224350558641
0.76,-0.010753190607212854
0.764,-0.01075458495870252
0.768,-0.010757469823853552
0.772,-0.010758094877969608
0.776,-0.010758527607742263
0.78,-0.01076148459452207
0.784,-0.010768047662740667
0.788,-0.010769778581831285
0.792,-0.010765739770619842
0.796,-0.010766821595051478
0.8,-0.010767494730253386
0.804,-0.01076016236466118
0.808,-0.010754152228929864
0.812,-0.010753238688298705
0.8160000000000001,-0.01075636395887899
0.8200000000000001,-0.01075270979635435
0.8240000000000001,-0.010747661282340044
0.8280000000000001,-0.010746507336279632
0.8320000000000001,-0.01074960856631699
0.836,-0.010753190607212854
0.84,-0.010754224350558641
0.844,-0.010754777283045922
0.848,-0.01075458495870252
0.852,-0.01075631587779314
0.856,-0.010763504000127792
0.86,-0.010764369459673101
0.864,-0.01075783043199743
0.868,-0.010751772215180264
0.872,-0.01074833441754195
0.876,-0.010749776850117467
0.88,-0.010757541945482327
0.884,-0.010758575688828114
0.888,-0.01074905563382971
0.892,-0.010743430146785197
0.896,-0.010745810160534799
0.9,-0.010750185539347196
0.904,-0.01075270979635435
0.908,-0.01074782956614052
0.912,-0.010746651579537183
0.916,-0.010749704728488692
0.92,-0.010752108782781218
0.924,-0.010753791620785986
0.928,-0.010754945566846398
0.932,-0.010755786985848783
0.936,-0.010757205377881373
0.9400000000000001,-0.010757926594169132
0.9440000000000001,-0.010760306607918732
0.9480000000000001,-0.010764249256958475
0.9520000000000001,-0.01076468198673113
0.9560000000000001,-0.010766821595051478
0.96,-0.010767446649167536
0.964,-0.010761532675607921
0.968,-0.010753238688298705
0.972,-0.010754056066758165
0.976,-0.010761773081037174
0.98,-0.010761123986378192
0.984,-0.01075194049898074
0.988,-0.010745713998363098
0.992,-0.01074417540361588
0.996,-0.010745810160534799
1.0,-0.010748382498627801
1.004,-0.010749873012289168
1.008,-0.010751796255723188
1.012,-0.010753791620785986
1.016,-0.01075590718856341
1.02,-0.010757565986025253
1.024,-0.01075686881028042
1.028,-0.010755234053361502
1.032,-0.010754921526303474
1.036,-0.010755402337161978
1.04,-0.010757950634712056
1.044,-0.010759176702401245
1.048,-0.010757614067111104
1.052,-0.01075270979635435
1.056,-0.010747108349852763
1.06,-0.01074691602550936
1.064,-0.010749175836544335
1.068,-0.010747300674196165
1.072,-0.010742612768325738
1.076,-0.010741098214121447
1.08,-0.010742853173754991
1.084,-0.010746747741708884
1.088,-0.010751171201607132
1.092,-0.010753791620785986
1.096,-0.010754368593816193
1.1,-0.010752613634182649
1.104,-0.010758912256429068
1.108,-0.010771870109065784
1.112,-0.010771341217121429
1.116,-0.01076372036501412
1.12,-0.010758647810456889
1.124,-0.010752541512553872
1.1280000000000001,-0.01075463303978837
1.1320000000000001,-0.010760282567375807
1.1360000000000001,-0.01075823912122716
1.1400000000000001,-0.010751171201607132
1.1440000000000001,-0.010746747741708884
1.1480000000000001,-0.010745040863161191
1.1520000000000001,-0.010744824498274862
1.156,-0.010741939633123832
1.16,-0.010738453754399668
1.164,-0.010736338186622245
1.168,-0.010739126889601575
1.172,-0.010743574390042749
1.176,-0.010747661282340044
1.18,-0.010747396836367867
1.184,-0.01074778148505467
1.188,-0.010753406972099182
1.192,-0.010756772648108719
1.196,-0.010754344553273266
1.2,-0.010755835066934633
1.204,-0.01075508981010395
1.208,-0.010752589593639722
1.212,-0.010752325147667545
1.216,-0.010748166133741474
1.22,-0.010743814795472002
1.224,-0.010743406106242272
1.228,-0.01073955961937423
1.232,-0.010737804659740686
1.236,-0.010742131957467232
1.24,-0.010743502268413974
1.244,-0.01074513702533289
1.248,-0.010742107916924308
1.252,-0.010739295173402053
1.256,-0.010744079241444179
1.26,-0.010751555850293937
1.264,-0.010755883148020484
1.268,-0.010759921959231929
1.272,-0.010762253891895678
1.276,-0.010761773081037174
1.28,-0.010761075905292341
1.284,-0.010758118918512534
1.288,-0.010755474458790755
1.292,-0.010750113417718421
1.296,-0.010748911390572158
1.3,-0.010754248391101565
1.304,-0.010751555850293937
1.308,-0.010746483295736705
1.312,-0.010746747741708884
1.316,-0.010746988147138136
1.32,-0.01074468025501731
1.324,-0.01074549763347677
1.328,-0.010747060268766912
1.332,-0.010748214214827325
1.336,-0.010747709363425895
1.34,-0.010747949768855148
1.344,-0.010751844336809039
1.348,-0.010751820296266115
1.352,-0.010746964106595211
1.356,-0.010743045498098394
1.36,-0.0107436224711286
1.364,-0.010744656214474386
1.368,-0.010747204512024464
1.372,-0.010749416241973588
1.3760000000000001,-0.010748574822971204
1.3800000000000001,-0.010753887782957687
1.3840000000000001,-0.010754753242502996
1.3880000000000001,-0.01075148372866516
1.3920000000000001,-0.010747685322882969
1.3960000000000001,-0.010745689957820173
1.4000000000000001,-0.010743934998186627
1.4040000000000001,-0.010743983079272478
1.408,-0.010745088944247042
1.412,-0.010748262295913176
1.416,-0.010747541079625417
1.42,-0.010745353390219219
1.424,-0.010745930363249424
1.428,-0.01074951240414529
1.432,-0.01075554658041953
1.436,-0.010754032026215238
1.44,-0.010750233620433047
1.444,-0.010751267363778834
1.448,-0.010755835066934633
1.452,-0.010754897485760547
1.456,-0.010748406539170727
1.46,-0.01074544955239092
1.464,-0.01074641117410793
1.468,-0.010751724134094413
1.472,-0.010753046363955302
1.476,-0.010748310376999026
1.48,-0.010747468957996642
1.484,-0.010754921526303474
1.488,-0.010756219715621438
1.492,-0.010749223917630186
1.496,-0.010746891984966436
1.5,-0.010748574822971204
1.504,-0.010748935431115082
1.508,-0.010748214214827325
1.512,-0.010748142093198548
1.516,-0.010749824931203317
1.52,-0.010752421309839246
1.524,-0.010749728769031616
1.528,-0.010744752376646087
1.532,-0.01074833441754195
1.536,-0.010756339918336064
1.54,-0.01076285490546881
1.544,-0.010763792486642896
1.548,-0.010765715730076916
1.552,-0.010768264027626994
1.556,-0.010760258526832881
1.56,-0.010746940066052285
1.564,-0.010741771349323354
1.568,-0.01073859799765722
1.572,-0.01073955961937423
1.576,-0.010743742673843227
1.58,-0.010746771782251809
1.584,-0.010747685322882969
1.588,-0.010748983512200933
1.592,-0.010750305742061823
1.596,-0.01075225302603877
1.6,-0.010757205377881373
1.604,-0.010756940931909195
1.608,-0.010752228985495844
1.612,-0.010752012620609517
1.616,-0.010763383797413166
1.62,-0.010769898784545913
1.624,-0.010763023189269288
1.6280000000000001,-0.010755258093904428
1.6320000000000001,-0.010754560918159595
1.6360000000000001,-0.010759441148373423
1.6400000000000001,-0.010757590026568177
1.6440000000000001,-0.010755498499333679
1.6480000000000001,-0.010754272431644491
1.6520000000000001,-0.010746747741708884
1.6560000000000001,-0.010742083876381384
1.6600000000000001,-0.010743742673843227
1.6640000000000001,-0.010746795822794735
1.668,-0.010746651579537183
1.672,-0.010744367727959283
1.676,-0.010742732971040364
1.68,-0.010741242457378999
1.684,-0.010738934565258174
1.688,-0.01073768445702606
1.692,-0.010741723268237503
1.696,-0.010744824498274862
1.7,-0.010749127755458485
1.704,-0.010754392634359117
1.708,-0.010753911823500613
1.712,-0.01074910371491556
1.716,-0.010747228552567389
1.72,-0.010750305742061823
1.724,-0.010749873012289168
1.728,-0.010751075039435431
1.732,-0.01074956048523114
1.736,-0.01073996830860396
1.74,-0.010731265632065015
1.744,-0.010731818564552296
1.748,-0.01073138583477964
1.752,-0.010732948470069783
1.756,-0.010738886484172323
1.76,-0.01074102609249267
1.764,-0.010739247092316202
1.768,-0.010736963240738301
1.772,-0.010738501835485519
1.776,-0.010746315011936229
1.78,-0.010750305742061823
1.784,-0.010745978444335275
1.788,-0.010744055200901255
