time,channel3
0.0,-0.008104571871507787
0.004,-0.008097792438402864
0.008,-0.008101085992783624
0.012,-0.008129718279407614
0.016,-0.008151186484239875
0.02,-0.008117938413374234
0.024,-0.008098730019576948
0.028,-0.00809156593778522
0.032,-0.008070338138382212
0.036000000000000004,-0.008059784340038022
0.04,-0.008059063123750263
0.044,-0.008063991435049944
0.048,-0.008070602584354391
0.052000000000000005,-0.008075723219997472
0.056,-0.008079136977092859
0.06,-0.00808699823462942
0.064,-0.008092719883845632
0.068,-0.008094859492165981
0.07200000000000001,-0.008098080924917966
0.076,-0.008099186789892528
0.08,-0.008102768830788393
0.084,-0.008094018073163596
0.088,-0.008090820680954536
0.092,-0.008109548263893316
0.096,-0.008118875994548318
0.1,-0.008090027343038002
0.10400000000000001,-0.008087575207659627
0.108,-0.008088608951005412
0.112,-0.00808243053147362
0.116,-0.008075002003709713
0.12,-0.008063462543105587
0.124,-0.008064760732423551
0.128,-0.00806831873277649
0.132,-0.008073920179278077
0.136,-0.008078848490577755
0.14,-0.008081084261069805
0.14400000000000002,-0.008079209098721634
0.148,-0.008079329301436261
0.152,-0.008082719017988724
0.156,-0.008103874695762955
0.16,-0.00810740865557297
0.164,-0.00809389787044897
0.168,-0.008090892802583313
0.17200000000000001,-0.008098561735776472
0.176,-0.008106422993313033
0.18,-0.008090123505209703
0.184,-0.008085002869566623
0.188,-0.008092816046017333
0.192,-0.00809207078918665
0.196,-0.008084930747937848
0.2,-0.008085651964225605
0.20400000000000001,-0.008074785638823386
0.20800000000000002,-0.008059255448093666
0.212,-0.00806269324573198
0.216,-0.008068559138205743
0.22,-0.008072982598103991
0.224,-0.008061803745643744
0.228,-0.00806735711105948
0.232,-0.00809389787044897
0.23600000000000002,-0.008099066587177902
0.24,-0.008072790273760589
0.244,-0.008074136544164404
0.248,-0.008075050084795563
0.252,-0.00807735797691639
0.256,-0.008086108734541185
0.26,-0.008073775936020525
0.264,-0.008060289191439453
0.268,-0.008057380285745496
0.272,-0.00805735624520257
0.276,-0.008060024745467274
0.28,-0.00806319809713341
0.28400000000000003,-0.008065866597398113
0.28800000000000003,-0.008069015908521323
0.292,-0.008082767099074574
0.296,-0.008093657465019718
0.3,-0.008087142477886972
0.304,-0.008071395922270923
0.308,-0.008056009974798755
0.312,-0.00808892147806344
0.316,-0.008101470641470428
0.32,-0.008052932785304322
0.324,-0.008029156688351236
0.328,-0.008036561175572218
0.332,-0.008061082529355987
0.336,-0.008064904975681103
0.34,-0.008047908311832943
0.34400000000000003,-0.008037811283804331
0.34800000000000003,-0.008039037351493519
0.352,-0.008044542635823404
0.356,-0.008047235176631034
0.36,-0.00805050469046887
0.364,-0.00805420693407936
0.368,-0.00805685139380114
0.372,-0.00805913524537904
0.376,-0.008064544367537224
0.38,-0.008075554936196995
0.384,-0.008079834152837691
0.388,-0.008078151314832922
0.392,-0.008079954355552317
0.396,-0.008098153046546742
0.4,-0.00809846557360477
0.404,-0.008069328435579351
0.40800000000000003,-0.008049759433638186
0.41200000000000003,-0.008059231407550741
0.41600000000000004,-0.0080372102702312
0.42,-0.008025959296142176
0.424,-0.008022016647102432
0.428,-0.008032354080560297
0.432,-0.00803547935114058
