time,channel4
0.0,1.831648965475833E-4
0.004,1.8032811248240222E-4
0.008,1.7515939575347056E-4
0.012,1.767941526723885E-4
0.016,1.7477474706666633E-4
0.02,1.6729813821690938E-4
0.024,1.666730841008525E-4
0.028,1.7186584137270945E-4
0.032,1.7316403069067367E-4
0.036000000000000004,1.7237069277413998E-4
0.04,1.6914926002215464E-4
0.044,1.6751450310323673E-4
0.048,1.70639773683521E-4
0.052000000000000005,1.714811926859052E-4
0.056,1.729476658043463E-4
0.06,1.7602485529878004E-4
0.064,1.7640950398558426E-4
0.068,1.7717880135919268E-4
0.07200000000000001,1.757123282407516E-4
0.076,1.7823658524790428E-4
0.08,1.7780385547524954E-4
0.084,1.7520747683932107E-4
0.088,1.7640950398558426E-4
0.092,1.7484686869544212E-4
0.096,1.7145715214297993E-4
0.1,1.7112058454202625E-4
0.10400000000000001,1.7472666598081582E-4
0.108,1.7426989566523578E-4
0.112,1.700387601103894E-4
0.116,1.722264495165884E-4
0.12,1.7953477456586852E-4
0.124,1.7845295013423166E-4
0.128,1.757123282407516E-4
0.132,1.7407757132183367E-4
0.136,1.7342847666285157E-4
0.14,1.7648162561436005E-4
0.14400000000000002,1.7580849041245265E-4
0.148,1.7511131466762002E-4
0.152,1.7840486904838112E-4
0.156,1.8506409943867914E-4
0.16,1.8679501852929812E-4
0.164,1.7352463883455263E-4
0.168,1.6619227324234722E-4
0.17200000000000001,1.709523007415494E-4
0.176,1.7455838218033892E-4
0.18,1.7621717964218218E-4
0.184,1.740535307789084E-4
0.188,1.714331116000547E-4
0.192,1.7583253095537792E-4
0.196,1.7508727412469477E-4
0.2,1.7515939575347056E-4
0.20400000000000001,1.775634500459969E-4
0.20800000000000002,1.7583253095537792E-4
0.212,1.7301978743312208E-4
0.216,1.6797127341881674E-4
0.22,1.6715389495935778E-4
0.224,1.639084216644472E-4
0.228,1.6518257043948614E-4
0.232,1.6631247595697354E-4
0.23600000000000002,1.720822062590368E-4
0.24,1.721543278878126E-4
0.244,1.7155331431468101E-4
0.248,1.6624035432819776E-4
0.252,1.6782703016126515E-4
0.256,1.7174563865808313E-4
0.26,1.6763470581786306E-4
0.264,1.635718540634935E-4
0.268,1.634997324347177E-4
0.272,1.633074080913156E-4
0.276,1.6220154311675345E-4
0.28,1.6261023234648297E-4
0.28400000000000003,1.6515852989656087E-4
0.28800000000000003,1.647498406668314E-4
0.292,1.6782703016126515E-4
0.296,1.6910117893630412E-4
0.3,1.6619227324234722E-4
0.304,1.652787326111872E-4
0.308,1.6547105695458933E-4
0.312,1.6388438112152192E-4
0.316,1.658316650984683E-4
0.32,1.6886077350705147E-4
0.324,1.7059169259767045E-4
0.328,1.7164947648638207E-4
0.332,1.6578358401261775E-4
0.336,1.6121588085681767E-4
0.34,1.605908267407608E-4
0.34400000000000003,1.6273043506110927E-4
0.34800000000000003,1.6698561115888094E-4
0.352,1.68908854592902E-4
0.356,1.6847612482024727E-4
0.36,1.6643267867159984E-4
