time,channel4
0.0,6.640719172245563E-4
0.004,6.649373767698657E-4
0.008,6.604177546999161E-4
0.012,6.606581601291688E-4
0.016,6.633747414797236E-4
0.02,6.638074712523784E-4
0.024,6.65874957943951E-4
0.028,6.685674987515806E-4
0.032,6.71428323359687E-4
0.036000000000000004,6.705869043573027E-4
0.04,6.717648909606406E-4
0.044,6.702503367563491E-4
0.048,6.605379574145424E-4
0.052000000000000005,6.396707661554137E-4
0.056,6.208710615878576E-4
0.06,5.99667302727775E-4
0.064,5.845458012277843E-4
0.068,5.81684976619678E-4
0.07200000000000001,5.940177751403383E-4
0.076,6.130819256800722E-4
0.08,6.344539683406315E-4
0.084,6.583262274654182E-4
0.088,6.733996478795586E-4
0.092,6.773182563763764E-4
0.096,6.777750266919564E-4
0.1,6.746978371975227E-4
0.10400000000000001,6.692165934105627E-4
0.108,6.725101477913237E-4
0.112,6.738564181951386E-4
0.116,6.710196341299574E-4
0.12,6.685194176657301E-4
0.124,6.693127555822638E-4
0.128,6.71524485531388E-4
0.132,6.709955935870323E-4
0.136,6.732313640790817E-4
0.14,6.745055128541207E-4
0.14400000000000002,6.76092188687188E-4
0.148,6.769336076895723E-4
0.152,6.76092188687188E-4
0.156,6.729188370210533E-4
0.16,6.725822694200996E-4
0.164,6.713802422738365E-4
0.168,6.764047157452165E-4
0.17200000000000001,6.752267291418785E-4
0.176,6.736400533088111E-4
0.18,6.728467153922775E-4
0.184,6.733275262507828E-4
0.188,6.741208641673164E-4
0.192,6.722697423620712E-4
0.196,6.707551881577796E-4
0.2,6.719572153040428E-4
0.20400000000000001,6.725582288771743E-4
0.20800000000000002,6.701060934987974E-4
0.212,6.717168098747901E-4
0.216,6.738564181951386E-4
0.22,6.765008779169175E-4
0.224,6.737602560234375E-4
0.228,6.726784315918006E-4
0.232,6.74721877740448E-4
0.23600000000000002,6.778471483207322E-4
0.24,6.777990672348817E-4
0.244,6.754190534852807E-4
0.248,6.778711888636575E-4
0.252,6.791693781816217E-4
0.256,6.752267291418785E-4
0.26,6.746497561116722E-4
0.264,6.756113778286827E-4
0.268,6.763566346593659E-4
0.272,6.747699588262985E-4
0.276,6.742170263390175E-4
0.28,6.770778509471239E-4
0.28400000000000003,6.760441076013374E-4
0.28800000000000003,6.726784315918006E-4
0.292,6.691204312388617E-4
0.296,6.670048634614384E-4
0.3,6.680866878930753E-4
0.304,6.701301340417227E-4
0.308,6.711398368445838E-4
0.312,6.715485260743132E-4
0.316,6.698897286124701E-4
0.32,6.671250661760647E-4
0.324,6.656826336005489E-4
0.328,6.657547552293247E-4
0.332,6.665000120600078E-4
0.336,6.662596066307552E-4
0.34,6.674616337770183E-4
0.34400000000000003,6.677501202921217E-4
0.34800000000000003,6.666202147746342E-4
0.352,6.691925528676375E-4
0.356,6.710196341299574E-4
0.36,6.698897286124701E-4
0.364,6.697454853549185E-4
0.368,6.651056605703426E-4
0.372,6.705388232714522E-4
0.376,6.741449047102417E-4
0.38,6.74265107424868E-4
0.384,6.71428323359687E-4
0.388,6.685915392945059E-4
0.392,6.708273097865554E-4
0.396,6.727265126776512E-4
0.4,6.693848772110396E-4
0.404,6.681347689789259E-4
0.40800000000000003,6.680626473501501E-4
0.41200000000000003,6.682309311506269E-4
0.41600000000000004,6.703224583851249E-4
0.42,6.700339718700216E-4
0.424,6.723899450766975E-4
0.428,6.726063099630248E-4
0.432,6.737842965663628E-4
0.436,6.734717695083344E-4
0.44,6.729188370210533E-4
0.444,6.71163877387509E-4
0.448,6.688079041808333E-4
0.452,6.716687287889396E-4
0.456,6.714042828167617E-4
0.46,6.702022556704985E-4
0.464,6.710436746728827E-4
0.468,6.704186205568259E-4
0.47200000000000003,6.702984178421996E-4
0.47600000000000003,6.707792287007049E-4
0.48,6.734958100512596E-4
0.484,6.69697404269068E-4
0.488,6.721735801903701E-4
0.492,6.706830665290038E-4
0.496,6.676299175774952E-4
0.5,6.673895121482425E-4
0.504,6.679905257213743E-4
0.508,6.707311476148543E-4
0.512,6.736881343946617E-4
0.516,6.753228913135796E-4
0.52,6.739766209097649E-4
0.524,6.742410668819427E-4
0.528,6.731111613644553E-4
0.532,6.727505532205764E-4
0.536,6.765729995456932E-4
0.54,6.722216612762206E-4
0.544,6.717889315035659E-4
0.548,6.72894796478128E-4
0.552,6.726303505059501E-4
0.556,6.728226748493522E-4
0.56,6.744814723111954E-4
0.5640000000000001,6.739525803668396E-4
0.5680000000000001,6.721976207332954E-4
0.5720000000000001,6.748901615409249E-4
0.5760000000000001,6.719572153040428E-4
0.58,6.721014585615943E-4
0.584,6.758037021720849E-4
0.588,6.77101891490049E-4
0.592,6.736881343946617E-4
0.596,6.730871208215301E-4
0.6,6.715725666172385E-4
0.604,6.724861072483986E-4
0.608,6.735679316800353E-4
0.612,6.713802422738365E-4
0.616,6.734717695083344E-4
0.62,6.735679316800353E-4
0.624,6.728707559352028E-4
0.628,6.715725666172385E-4
0.632,6.711157963016585E-4
0.636,6.726303505059501E-4
0.64,6.715966071601638E-4
0.644,6.732313640790817E-4
0.648,6.737602560234375E-4
0.652,6.741689452531669E-4
0.656,6.731352019073806E-4
0.66,6.720533774757438E-4
0.664,6.732073235361564E-4
0.668,6.741208641673164E-4
0.672,6.72077418018669E-4
0.676,6.681107284360006E-4
0.68,6.661153633732036E-4
0.684,6.686636609232817E-4
0.6880000000000001,6.689281068954596E-4
0.6920000000000001,6.67966485178449E-4
0.6960000000000001,6.665480931458584E-4
0.7000000000000001,6.640719172245563E-4
0.704,6.665240526029331E-4
0.708,6.659230390298015E-4
0.712,6.699858907841711E-4
0.716,6.683030527794027E-4
0.72,6.65418187628371E-4
0.724,6.670289040043636E-4
0.728,6.673173905194668E-4
0.732,6.719091342181922E-4
0.736,6.71524485531388E-4
0.74,6.66788498575111E-4
0.744,6.728707559352028E-4
0.748,6.771259320329743E-4
0.752,6.709234719582565E-4
0.756,6.695772015544417E-4
0.76,6.71524485531388E-4
0.764,6.721014585615943E-4
0.768,6.742410668819427E-4
0.772,6.742410668819427E-4
0.776,6.72990958649829E-4
0.78,6.712840801021354E-4
0.784,6.699137691553954E-4
0.788,6.714523639026123E-4
0.792,6.722697423620712E-4
0.796,6.703224583851249E-4
0.8,6.744574317682702E-4
0.804,6.72077418018669E-4
0.808,6.692165934105627E-4
0.812,6.667163769463352E-4
0.8160000000000001,6.681588095218511E-4
0.8200000000000001,6.6943295829689E-4
0.8240000000000001,6.709475125011817E-4
0.8280000000000001,6.717168098747901E-4
0.8320000000000001,6.744814723111954E-4
0.836,6.75635418371608E-4
0.84,6.785683646084902E-4
0.844,6.802992836991092E-4
0.848,6.78736648408967E-4
0.852,6.71524485531388E-4
0.856,6.517631592468213E-4
0.86,6.28756359667344E-4
0.864,6.092594793549553E-4
0.868,5.94186058940815E-4
0.872,5.911088694463812E-4
0.876,6.029127760226856E-4
0.88,6.187554938104344E-4
0.884,6.331798195655926E-4
0.888,6.56210659687995E-4
0.892,6.761162292301132E-4
0.896,6.820782838755787E-4
0.9,6.826071758199345E-4
0.904,6.826552569057851E-4
0.908,6.764047157452165E-4
0.912,6.746497561116722E-4
0.916,6.751546075131027E-4
0.92,6.718610531323417E-4
0.924,6.698416475266196E-4
0.928,6.744333912253449E-4
0.932,6.756113778286827E-4
0.936,6.724861072483986E-4
0.9400000000000001,6.727265126776512E-4
0.9440000000000001,6.715966071601638E-4
0.9480000000000001,6.717648909606406E-4
0.9520000000000001,6.717889315035659E-4
0.9560000000000001,6.683030527794027E-4
0.96,6.679424446355237E-4
0.964,6.663798093453816E-4
0.968,6.679905257213743E-4
0.972,6.696012420973669E-4
0.976,6.704186205568259E-4
0.98,6.71428323359687E-4
0.984,6.734477289654091E-4
0.988,6.721976207332954E-4
0.992,6.72438026162548E-4
0.996,6.751546075131027E-4
1.0,6.720293369328185E-4
1.004,6.698897286124701E-4
1.008,6.702262962134238E-4
1.012,6.704667016426765E-4
1.016,6.67702039206271E-4
1.02,6.630622144216952E-4
1.024,6.638315117953037E-4
1.028,6.691444717817869E-4
1.032,6.689040663525343E-4
1.036,6.6669233640341E-4
1.04,6.687357825520575E-4
1.044,6.728226748493522E-4
1.048,6.731592424503059E-4
1.052,6.707792287007049E-4
1.056,6.699137691553954E-4
1.06,6.712600395592101E-4
1.064,6.700339718700216E-4
1.068,6.732794451649322E-4
1.072,6.72798634306427E-4
1.076,6.696252826402922E-4
1.08,6.679424446355237E-4
1.084,6.695531610115164E-4
1.088,6.719572153040428E-4
1.092,6.723178234479217E-4
1.096,6.703464989280501E-4
1.1,6.706349854431532E-4
1.104,6.712840801021354E-4
1.108,6.671731472619152E-4
1.112,6.66788498575111E-4
1.116,6.70707107071929E-4
1.12,6.683030527794027E-4
1.124,6.674856743199436E-4
1.1280000000000001,6.703464989280501E-4
1.1320000000000001,6.685194176657301E-4
1.1360000000000001,6.676779986633458E-4
1.1400000000000001,6.667404174892605E-4
1.1440000000000001,6.661153633732036E-4
1.1480000000000001,6.682068906077017E-4
1.1520000000000001,6.691204312388617E-4
1.156,6.690723501530111E-4
1.16,6.670289040043636E-4
1.164,6.668606202038868E-4
1.168,6.652258632849689E-4
1.172,6.649854578557162E-4
1.176,6.639517145099299E-4
1.18,6.658989984868762E-4
1.184,6.667404174892605E-4
1.188,6.625333224773394E-4
1.192,6.659470795727268E-4
1.196,6.681588095218511E-4
1.2,6.657547552293247E-4
1.204,6.641921199391826E-4
1.208,6.640959577674815E-4
1.212,6.645767686259868E-4
1.216,6.651056605703426E-4
1.22,6.644325253684352E-4
1.224,6.626535251919657E-4
