time,channel5
0.0,-6.484455643231349E-4
0.004,-6.761643103159638E-4
0.008,-6.382764146657484E-4
0.012,-5.967103159479677E-4
0.016,-6.010135731315898E-4
0.02,-6.100528172714889E-4
0.024,-6.361848874312505E-4
0.028,-5.663471102333598E-4
0.032,-5.788481925544968E-4
0.036000000000000004,-5.89257747641136E-4
0.04,-6.061342087746709E-4
0.044,-5.380754317532497E-4
0.048,-5.241319168565969E-4
0.052000000000000005,-5.303103363883897E-4
0.056,-5.452395135449783E-4
0.06,-5.04346550029105E-4
0.064,-4.779740744400908E-4
0.068,-4.902828324178258E-4
0.07200000000000001,-4.771086148947813E-4
0.076,-4.738150605140202E-4
0.08,-4.222480959393298E-4
0.084,-4.4475004411737647E-4
0.088,-4.5554424789081985E-4
0.092,-4.646315731165694E-4
0.096,-4.032801075712968E-4
0.1,-3.8909618724539125E-4
0.10400000000000001,-4.1174237868098955E-4
0.108,-4.2046909576286024E-4
0.112,-3.5933399510391494E-4
0.116,-3.4351531785909155E-4
0.12,-3.6844536087258985E-4
0.124,-3.660413065800635E-4
0.128,-3.329374789719755E-4
0.132,-3.010356785101507E-4
0.136,-3.5130445376687687E-4
0.14,-3.341875872040893E-4
0.14400000000000002,-3.110605849099856E-4
0.148,-2.753844192088945E-4
0.152,-3.009875974243002E-4
0.156,-2.888711637899673E-4
0.16,-2.856016499521315E-4
0.164,-2.4877153819062765E-4
0.168,-2.4655980824150344E-4
0.17200000000000001,-2.770672572136629E-4
0.176,-2.3208740140049473E-4
0.18,-1.8672289690052234E-4
0.184,-2.0302238500385106E-4
0.188,-2.3881875341956856E-4
0.192,-1.8893462684964658E-4
0.196,-1.5229683943154487E-4
0.2,-1.3498764852535507E-4
0.20400000000000001,-1.8910291065012344E-4
0.20800000000000002,-1.5090248794187957E-4
0.212,-1.2508294484014646E-4
0.216,-9.325326600709749E-5
0.22,-1.4390668995062787E-4
0.224,-1.3671856761597405E-4
0.228,-9.8133496220926E-5
0.232,-7.803560233540561E-5
0.23600000000000002,-9.161850908817955E-5
0.24,2.261493872979546E-4
0.244,2.4576647032496974E-4
0.248,2.2052390025344295E-4
0.252,2.0617169612706057E-4
0.256,2.6502294520810586E-4
0.26,2.629073774306826E-4
0.264,2.6562395878123744E-4
0.268,2.372561181294264E-4
0.272,2.731246081739197E-4
