time,channel1,channel2,channel3,channel4,channel5
0,-0.008250666250865,-0.008359617991402,-0.01080009370646,0.012233390875664,0.018837832868636
0.004,-0.008249344021004,-0.008362214370038,-0.010797857935968,0.012231131064629,0.018834226787197
0.008,-0.008265066536077,-0.008360844059091,-0.010797930057597,0.012224543955868,0.018837736706464
0.012,-0.008289876376376,-0.008365411762247,-0.010800310071346,0.012208797400252,0.018839635909355
0.016,-0.008296607728395,-0.008365291559532,-0.010794684584302,0.012215745117157,0.018836847206376
0.02,-0.008286558781452,-0.008366733992108,-0.010790597692005,0.012223101523292,0.018816076177288
0.024,-0.008285525038106,-0.008370844924948,-0.010797256922395,0.012228606807622,0.018807301379121
0.028,-0.008286005848965,-0.008368008140883,-0.010799059963114,0.012229664591511,0.018804464595055
0.032,-0.008282688254041,-0.008367046519166,-0.010791943962408,0.012228053875135,0.018806532081747
0.036,-0.008279562983461,-0.008368585113913,-0.010790044759517,0.012233342794578,0.018793910796711
0.04,-0.008276485793966,-0.008368440870655,-0.01079088617852,0.012241396376458,0.018779486470956
0.044,-0.008275139523563,-0.008364378018901,-0.010790140921689,0.012245242863327,0.018772274308078
0.048,-0.008281101578208,-0.00836363276207,-0.01080050239569,0.012246348728301,0.018760494442045
0.052,-0.008286654943624,-0.008366157019078,-0.010811777410322,0.012241708903516,0.018746526886606
0.056,-0.008289780214204,-0.008368224505769,-0.010809998410145,0.012237670092305,0.018727799303667
0.06,-0.008294444079532,-0.008366036816363,-0.010804372923101,0.012233895727066,0.018720659262418
0.064,-0.008292881444241,-0.00836560408659,-0.010798218544112,0.012238054740992,0.018707220598923
0.068,-0.008287832930227,-0.008369907343774,-0.010798867638771,0.012239112524881,0.018700369044189
0.072,-0.00827766378057,-0.008370580478976,-0.010803795950071,0.012237453727419,0.018690993232448
0.076,-0.008266533009195,-0.008369354411287,-0.010800286030804,0.012239833741168,0.018685127339974
0.08,-0.008269754441947,-0.008371758465579,-0.01078711181328,0.012239136565423,0.018697388016866
0.084,-0.008269345752718,-0.008368056221969,-0.010780428542347,0.012237597970676,0.018695536895061
0.088,-0.00826057095455,-0.008366253181249,-0.010780524704519,0.012234064010866,0.018681304893649
0.092,-0.008258142859714,-0.008369522695087,-0.010782664312839,0.01223425633521,0.01867498223086
0.096,-0.008273168199043,-0.008372407560238,-0.010784154826501,0.012238054740992,0.018673443636113
0.1,-0.008293458417272,-0.008371614222322,-0.010784275029215,0.012238799997823,0.018668755730242
0.104,-0.008299420471917,-0.008369450573458,-0.010784611596816,0.012230578132142,0.018652432201596
0.108,-0.008287929092399,-0.008370316033004,-0.01078538089419,0.012227140334504,0.018639257984073
0.112,-0.00828062076735,-0.008367503289481,-0.010787039691652,0.012228246199478,0.018626155888179
0.116,-0.008283313308157,-0.008363608721528,-0.010788482124227,0.012228943375223,0.018624713455603
0.12,-0.008280740970064,-0.008364161654015,-0.010790958300149,0.012231203186258,0.018607211940354
0.124,-0.008275836699307,-0.00836445014053,-0.010795045192446,0.012235097754212,0.018587859303299
0.128,-0.008272855671985,-0.008365964694734,-0.010796030854706,0.012233318754036,0.018591176898222
0.132,-0.008271701725924,-0.008366205100163,-0.010791751638065,0.01222932802391,0.018588820925016
0.136,-0.008271677685381,-0.008367286924595,-0.010787953232283,0.01222735669939,0.018579276829474
0.14,-0.008271052631265,-0.008364882870303,-0.01078711181328,0.012225770023557,0.01856913172036
0.144,-0.008270211212263,-0.008366157019078,-0.010785332813104,0.012225770023557,0.018567256558012
0.148,-0.008269562117604,-0.00836560408659,-0.010783553812928,0.012212090954633,0.018571752139539
0.152,-0.00826961019869,-0.008365531964962,-0.010786582921336,0.0121957193449,0.018575718829122
0.156,-0.008268384131001,-0.008367431167853,-0.010790020718974,0.012207499210934,0.018569660612304
0.16,-0.008265018454991,-0.008369017843686,-0.010799468652344,0.012218077049821,0.018581344316166
0.164,-0.008262061468211,-0.008364209735101,-0.010803483423013,0.012220961914972,0.018597619763726
0.168,-0.00826682149571,-0.008360988302349,-0.010796463584478,0.012218341495793,0.018606923453839
0.172,-0.008269249590546,-0.008358968896743,-0.010785909786134,0.012221707171803,0.018598821790873
0.176,-0.008268961104031,-0.008359041018372,-0.010779923690946,0.012227380739933,0.018605529102349
0.18,-0.008263744306216,-0.008368200465226,-0.010778072569141,0.012229688632054,0.018620314036248
0.184,-0.008257541846141,-0.008368128343597,-0.010774394366073,0.012230025199655,0.018623271023028
0.188,-0.008258936197631,-0.008367431167853,-0.01077182202798,0.012229352064453,0.018607885075556
0.192,-0.008269321712175,-0.008367359046224,-0.010776678217651,0.012229760753683,0.018597066831239
0.196,-0.008278096510342,-0.008366373383964,-0.010779394799001,0.012224447793696,0.018603533737286
0.2,-0.008270403536606,-0.008364474181073,-0.010778986109772,0.012229424186082,0.018589686384561
0.204,-0.008266557049738,-0.008363272153927,-0.010784034623786,0.0122358189705,0.018571415571938
